artistId,artist,field,value,sourceName,sourceUrl,dateAccessed,confidence,status
3,Air,topAlbumSales,"{'album': 'Moon Safari', 'sales': 2000000}",RIAA / IFPI / ChartMasters / Wikipedia,https://www.riaa.com/gold-platinum/,2026-05-12,2,verified
3,Air,ifpiBestAlbums,1,RIAA / IFPI / ChartMasters / Wikipedia,https://www.riaa.com/gold-platinum/,2026-05-12,2,verified
5,Aphex Twin,topAlbumSales,"{'album': 'Selected Ambient Works 85-92', 'sales': 500000}",RIAA / IFPI / ChartMasters / Wikipedia,https://www.riaa.com/gold-platinum/,2026-05-12,2,verified
8,The Beatles,topAlbumSales,"{'album': ""Sgt. Pepper's Lonely Hearts Club Band"", 'sales': 32000000}",RIAA / IFPI / ChartMasters / Wikipedia,https://www.riaa.com/gold-platinum/,2026-05-12,5,verified
8,The Beatles,riaaCertifications,17,RIAA / IFPI / ChartMasters / Wikipedia,https://www.riaa.com/gold-platinum/,2026-05-12,5,verified
8,The Beatles,riaaDiamond,10,RIAA / IFPI / ChartMasters / Wikipedia,https://www.riaa.com/gold-platinum/,2026-05-12,5,verified
8,The Beatles,riaaGold,5,RIAA / IFPI / ChartMasters / Wikipedia,https://www.riaa.com/gold-platinum/,2026-05-12,5,verified
8,The Beatles,riaa100m,183000000,RIAA / IFPI / ChartMasters / Wikipedia,https://www.riaa.com/gold-platinum/,2026-05-12,5,verified
8,The Beatles,riaaBestSellers,1,RIAA / IFPI / ChartMasters / Wikipedia,https://www.riaa.com/gold-platinum/,2026-05-12,5,verified
8,The Beatles,ifpiBestArtists,1,RIAA / IFPI / ChartMasters / Wikipedia,https://www.riaa.com/gold-platinum/,2026-05-12,5,verified
8,The Beatles,totalCertifications,183,RIAA / IFPI / ChartMasters / Wikipedia,https://www.riaa.com/gold-platinum/,2026-05-12,5,verified
9,Beyoncé,topAlbumSales,"{'album': 'I Am... Sasha Fierce', 'sales': 10000000}",RIAA / IFPI / ChartMasters / Wikipedia,https://www.riaa.com/gold-platinum/,2026-05-12,5,verified
9,Beyoncé,riaaCertifications,7,RIAA / IFPI / ChartMasters / Wikipedia,https://www.riaa.com/gold-platinum/,2026-05-12,5,verified
